Time (ms),Weight (g),Drag Force (N),Velocity (m/s),Drag Coefficient
118.93725395202637,-379.6,-3.72,-31.75,-0.01
293.20430755615234,-0.03,-0.0,-27.79,-0.0
416.5515899658203,-379.6,-3.72,-31.65,-0.01
554.4955730438232,-0.03,-0.0,-25.5,-0.0
695.9471702575684,-126.55,-1.24,-31.77,-0.0
817.6212310791016,-0.03,-0.0,-25.05,-0.0
1001.1320114135742,-126.55,-1.24,-31.58,-0.0
1108.4191799163818,-0.03,-0.0,-28.3,-0.0
1220.2134132385254,-31.66,-0.31,-31.56,-0.0
1327.059268951416,-0.03,-0.0,-26.07,-0.0
1436.1820220947266,-126.55,-1.24,-31.64,-0.0
1546.8451976776123,-0.03,-0.0,-30.04,-0.0
1654.834508895874,-126.55,-1.24,-31.64,-0.0
1768.6398029327393,-0.03,-0.0,-32.37,-0.0
1880.4688453674316,-15.85,-0.16,-31.59,-0.0
1986.8278503417969,-0.03,-0.0,-26.11,-0.0
2163.668155670166,-126.55,-1.24,-31.72,-0.0
2349.285840988159,-0.03,-0.0,-25.68,-0.0
2484.9236011505127,-126.55,-1.24,-31.72,-0.0
2689.098834991455,-0.03,-0.0,-29.11,-0.0
2889.9455070495605,-4048.73,-39.72,-32.31,-0.06
3008.8160037994385,-0.03,-0.0,-27.75,-0.0
3288.445472717285,-379.6,-3.72,-31.93,-0.01
3396.1591720581055,-0.03,-0.0,-25.53,-0.0
3508.8562965393066,-126.55,-1.24,-31.89,-0.0
3613.609790802002,-0.03,-0.0,-24.84,-0.0
3889.8367881774902,-31.66,-0.31,-31.78,-0.0
4094.315767288208,-0.03,-0.0,-31.79,-0.0
4441.014528274536,-110.74,-1.09,-31.58,-0.0
4946.764230728149,-0.03,-0.0,-30.71,-0.0
5070.490598678589,-3.99,-0.04,-31.41,-0.0
5178.286552429199,-0.03,-0.0,-29.47,-0.0
5284.475088119507,-15.85,-0.16,-31.55,-0.0
5390.111684799194,-0.03,-0.0,-28.16,-0.0
5499.269247055054,-79.11,-0.78,-31.62,-0.0
5610.479354858398,-0.03,-0.0,-26.18,-0.0
5722.60308265686,-11.89,-0.12,-31.57,-0.0
5830.308198928833,-0.03,-0.0,-25.34,-0.0
5943.547248840332,-11.89,-0.12,-31.61,-0.0
6052.256107330322,-0.03,-0.0,-28.51,-0.0
6162.9931926727295,-15.85,-0.16,-31.59,-0.0
6388.368844985962,-0.03,-0.0,-31.1,-0.0
6622.4799156188965,-3.99,-0.04,-31.45,-0.0
6837.239742279053,-0.03,-0.0,-30.14,-0.0
6963.279962539673,-3.99,-0.04,-31.48,-0.0
7090.261459350586,-0.03,-0.0,-32.37,-0.0
7319.851636886597,-0.03,-0.0,-36.41,-0.0
7453.474998474121,10.84,0.11,-27.68,0.0
7578.465223312378,-0.03,-0.0,-31.5,-0.0
7698.156118392944,-0.4,-0.0,-31.38,-0.0
7829.947710037231,-0.03,-0.0,-27.07,-0.0
7942.165851593018,-0.4,-0.0,-31.44,-0.0
8049.144268035889,-0.03,-0.0,-30.01,-0.0
8159.106254577637,-0.4,-0.0,-31.47,-0.0
8271.358489990234,-0.03,-0.0,-29.02,-0.0
8486.88554763794,-0.53,-0.01,-31.61,-0.0
8623.409271240234,-0.03,-0.0,-27.05,-0.0
8730.09204864502,-0.4,-0.0,-31.65,-0.0
8838.035106658936,-0.03,-0.0,-30.78,-0.0
8942.827701568604,-0.09,-0.0,-31.62,-0.0
9062.540769577026,-0.03,-0.0,-33.11,-0.0
9168.789625167847,-0.16,-0.0,-31.52,-0.0
9278.987646102905,-0.03,-0.0,-32.3,-0.0
9385.95986366272,-0.12,-0.0,-31.6,-0.0
9497.101545333862,-0.03,-0.0,-27.02,-0.0
9609.910726547241,-0.09,-0.0,-31.62,-0.0
9717.095613479614,-0.03,-0.0,-26.99,-0.0
9827.669382095337,-0.4,-0.0,-31.79,-0.0
9943.41516494751,-0.03,-0.0,-30.11,-0.0
10051.451921463013,-0.53,-0.01,-31.71,-0.0
